File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine
sw2044B-ms98-a,0059,B,380.1115,392.3915,12.28000000000003,i was gonna say there've been several times when i know they had ice storms down in Dallas uh that we would be up here trying to call and it we'd figure out after about the first hour that there ain't nobody at work ,1.0
sw2136A-ms98-a,0076,A,295.304875,303.5265,8.221625000000017,and th- that's the way i think they should do it that way it is random you know it's random because_1 some people is already gone two three times and some people ain't went at all,1.0
sw2277A-ms98-a,0080,A,384.49225,387.51075,3.0184999999999604,well if it ain't uh well you know uh,1.0
sw2277B-ms98-a,0095,B,442.416375,446.97375,4.557374999999979,you know huh-uh  and that ain't right neither,1.0
sw2280A-ms98-a,0058,A,188.285375,195.838,7.552625000000006,there's your tornados that's right and so they're predicting this weekend probably drop something like thirty degrees i say huh-uh see that ain't right,1.0
sw2410B-ms98-a,0037,B,182.718375,192.6225,9.904124999999993,you know it's supposed to be all for one and one for all but that ain't how it works baby i mean that's you know they're not going to do something unless they've got incentives and they don't have any incentives to work,1.0
sw2521B-ms98-a,0045,B,196.374375,204.782125,8.407750000000021,i mean it's tha- i mean you know that's the way i felt about it but i tell you what if New Orleans ever gets a quarterback ain't nobody going to beat us ,1.0
sw2536A-ms98-a,0100,A,348.487125,352.844625,4.357500000000016,yeah i just you know i ain't got time to me- mess around with them,1.0
sw2575A-ms98-a,0046,A,261.317125,271.739,10.421875,um but i had lived in my own little bubble up until that time and and after traveling around the world a few times i realized that things ain't the way they seem,1.0
sw2692A-ms98-a,0121,A,597.17025,599.959125,2.788874999999962,the country expression you know if it ain't if it ain't broke don't fix it,2.0
sw2893B-ms98-a,0070,B,323.563,329.343375,5.780374999999992,yeah well actually like i say it ain't as bad this time because i was in shape when i got pregnant,1.0
sw2911A-ms98-a,0090,A,462.708875,474.4655,11.756625000000042,well we're having a hard time right now too but it's just who if the kid if kids don't have direction if their mother ain't home directing them through the day kids are growing up wild nowadays,1.0
sw2913B-ms98-a,0047,B,201.876,209.733125,7.857124999999996, Kyle i'm on the telephone i'll be right i'll be right there  sorry  now you're glad you ain't got a four year old ,1.0
sw2968B-ms98-a,0116,B,461.0395,463.1795,2.140000000000043,which i'm sure he ain't poor,1.0
sw3348A-ms98-a,0061,A,183.263375,186.732,3.468625000000003,ain't because_1 it ain't Tetris ,2.0
sw3348B-ms98-a,0041,B,181.135625,183.719,2.5833749999999895,and the other version's called Ain't,1.0
sw3379A-ms98-a,0026,A,149.225625,159.187,9.961375000000004,just on an economic point of view if the Soviet Union doesn't do something fast they're they ain't gonna be able to feed their people this this winter you know but,1.0
sw3415A-ms98-a,0014,A,60.5015,67.728625,7.227124999999994,period then you know then if they catch them_1 with one then fine but just gun control ain't going to stop them_1 from having a gun,1.0
sw3415A-ms98-a,0058,A,264.531875,269.157625,4.625749999999982,i'll know if they go in the room because there ain't but two bedrooms so it's like right there,1.0
sw3435A-ms98-a,0054,A,281.250375,288.137125,6.886750000000006,you know i can hit a great drives and think i'm going to do all awesome on this hole but it ain't going to happen,1.0
sw3695B-ms98-a,0047,B,183.89825,193.945125,10.046875,i mean sure having a Mazda or a Nissan or whatever they're called these days sure that'd be a real status symbol but you ain't gonna impress my neighbors,1.0
sw3971B-ms98-a,0028,B,114.670875,118.23575,3.5648750000000007,you go- you got to do something when football ain't on so,1.0
sw3990B-ms98-a,0051,B,169.90625,175.40125,5.4950000000000045, and if they sell you well enough there ain't nothing that's going to change your mind ,1.0
sw4063A-ms98-a,0029,A,120.74725,129.65425,8.906999999999996,yeah i understand that ri- right now that's just the problem i have and we don't ain't been able to save any because i am putting my wife through school right now,1.0
sw4065B-ms98-a,0049,B,237.448,251.1645,13.716499999999996, yeah it's just a gallbladder it ain't  you know no problem yeah i guess that's j- uh that's basically what they're doing then just forcing you to be responsible but i guess some people have to be forced so ,1.0
sw4126B-ms98-a,0037,B,110.337,119.50775,9.170749999999998,out in the garage but it's it's been kind of raining and stuff around here lately so there ain't been much of a chance to go riding a bicycle ,1.0
sw4219A-ms98-a,0077,A,280.953125,283.965375,3.0122499999999945,well that ain't gonna work,1.0
sw_4577,44,A,282.29,294.01,11.71999999999997,they found out i could sing  and so they got me up there and i sang on the stage with them  on the weekends and  just songs like Blue Moon and Ain't Misbehavin' and and songs like that,1.0
