File,BeginningIntegerSampleNumber,EndIntegerSampleNumber,Content,InstancesCountPerLine
FADG0_SX19,0,43520,Aluminum silverware can often be flimsy.,1.0
FCFT0_SX368,0,53146,Lori's costume needed black gloves to be completely elegant.,1.0
FGDP0_SX88,0,74036,Flying standby can be practical if you want to save money.,1.0
FKMS0_SX320,0,48845,The nearest synagogue may not be within walking distance.,1.0
FLAG0_SX294,0,54989,Should giraffes be kept in small zoos?,1.0
FLKD0_SX19,0,41165,Aluminum silverware can often be flimsy.,1.0
FLNH0_SX314,0,51508,"If people were more generous, there would be no need for welfare.",1.0
FLNH0_SX44,0,37888,Basketball can be an entertaining sport.,1.0
FMAF0_SX19,0,45876,Aluminum silverware can often be flimsy.,1.0
FMML0_SX320,0,50688,The nearest synagogue may not be within walking distance.,1.0
FNKL0_SX82,0,50791,Good service should be rewarded by big tips.,1.0
FPAS0_SX314,0,47002,"If people were more generous, there would be no need for welfare.",1.0
FPAS0_SX44,0,35943,Basketball can be an entertaining sport.,1.0
FPJF0_SX352,0,67789,"According to my interpretation of the problem, two lines must be perpendicular.",1.0
FPKT0_SX368,0,49460,Lori's costume needed black gloves to be completely elegant.,1.0
FRLL0_SX74,0,41984,An official deadline cannot be postponed.,1.0
FSDC0_SX322,0,39732,A leather handbag would be a suitable gift.,1.0
FTAJ0_SX429,0,37479,A toothpaste tube should be squeezed from the bottom.,1.0
FTLH0_SX19,0,47719,Aluminum silverware can often be flimsy.,1.0
MBWM0_SX314,0,51405,"If people were more generous, there would be no need for welfare.",1.0
MBWM0_SX44,0,43725,Basketball can be an entertaining sport.,1.0
MCDR0_SX74,0,42292,An official deadline cannot be postponed.,1.0
MCMB0_SX368,0,54989,Lori's costume needed black gloves to be completely elegant.,1.0
MCTT0_SX298,0,44749,I'd rather not buy these shoes than be overcharged.,1.0
MDAC0_SX271,0,38708,Be careful not to plow over the flower beds.,1.0
MDDC0_SX429,0,42599,A toothpaste tube should be squeezed from the bottom.,1.0
MDLS0_SX368,0,52224,Lori's costume needed black gloves to be completely elegant.,1.0
MDSJ0_SX292,0,55911,These exclusive documents must be locked up at all times.,1.0
MEDR0_SX294,0,32052,Should giraffes be kept in small zoos?,1.0
MFMC0_SX322,0,41575,A leather handbag would be a suitable gift.,1.0
MGJF0_SX371,0,53556,Right now may not be the best time for business mergers.,1.0
MHIT0_SX173,0,57652,Whoever cooperates in finding Nan's cameo will be rewarded.,1.0
MHXL0_SX422,0,61544,"Once you finish greasing your chain, be sure to wash thoroughly.",1.0
MHXL0_SX62,0,46696,Any contributions will be greatly appreciated.,1.0
MJBG0_SX422,0,60109,"Once you finish greasing your chain, be sure to wash thoroughly.",1.0
MJBG0_SX62,0,47309,Any contributions will be greatly appreciated.,1.0
MJDG0_SX322,0,36455,A leather handbag would be a suitable gift.,1.0
MJJJ0_SX173,0,54068,Whoever cooperates in finding Nan's cameo will be rewarded.,1.0
MJRF0_SX371,0,46695,Right now may not be the best time for business mergers.,1.0
MJRG0_SX352,0,69530,"According to my interpretation of the problem, two lines must be perpendicular.",1.0
MKCH0_SX298,0,45261,I'd rather not buy these shoes than be overcharged.,1.0
MKCL0_SX371,0,60621,Right now may not be the best time for business mergers.,1.0
MKDT0_SX173,0,61338,Whoever cooperates in finding Nan's cameo will be rewarded.,1.0
MLJB0_SX320,0,50074,The nearest synagogue may not be within walking distance.,1.0
MMGK0_SX422,0,47821,"Once you finish greasing your chain, be sure to wash thoroughly.",1.0
MMGK0_SX62,0,36557,Any contributions will be greatly appreciated.,1.0
MMJR0_SX298,0,54375,I'd rather not buy these shoes than be overcharged.,1.0
MNJM0_SX320,0,60928,The nearest synagogue may not be within walking distance.,1.0
MPGH0_SX294,0,32768,Should giraffes be kept in small zoos?,1.0
MPLB0_SX314,0,62874,"If people were more generous, there would be no need for welfare.",1.0
MPLB0_SX44,0,42906,Basketball can be an entertaining sport.,1.0
MRCZ0_SX371,0,52020,Right now may not be the best time for business mergers.,1.0
MREE0_SX294,0,42600,Should giraffes be kept in small zoos?,1.0
MTAB0_SX312,0,75264,Those answers will be straightforward if you think them through carefully first.,1.0
MTAS1_SX298,0,50893,I'd rather not buy these shoes than be overcharged.,1.0
MTCS0_SX352,0,63284,"According to my interpretation of the problem, two lines must be perpendicular.",1.0
MTCS0_SX82,0,43418,Good service should be rewarded by big tips.,1.0
