,ConstituentBoundary_done_VerbPastParticiple,ConstituentBoundary_done_VerbPastParticiple,Noun_done_VerbBase,Noun_done_VerbBase,Noun_done_VerbPastParticiple,Noun_done_VerbPastParticiple,PronounIndefinite_done_VerbPastParticiple,PronounIndefinite_done_VerbPastParticiple,PronounPersonal_done_Adjective,PronounPersonal_done_Adjective,PronounPersonal_done_VerbBase,PronounPersonal_done_VerbBase,PronounPersonal_done_VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,PronounRelative_done_VerbPastParticiple,PronounRelative_done_VerbPastParticiple
,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized
all,0,0.0,0,0.0,0,0.0,1,0.07246093268814119,0,0.0,0,0.0,0,0.0,0,0.0
constituentbounday,2,0.14492186537628238,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
crowd,0,0.0,0,0.0,1,0.07246093268814119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
everybody,0,0.0,0,0.0,0,0.0,3,0.21738279806442357,0,0.0,0,0.0,0,0.0,0,0.0
family,0,0.0,0,0.0,1,0.07246093268814119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
he,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.14492186537628238,0,0.0
I,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07246093268814119,2,0.14492186537628238,36,2.608593576773083,0,0.0
it,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07246093268814119,0,0.0,4,0.28984373075256475,0,0.0
kids,0,0.0,1,0.07246093268814119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
lot,0,0.0,0,0.0,1,0.07246093268814119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
man,0,0.0,0,0.0,1,0.07246093268814119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
nigga,0,0.0,0,0.0,1,0.07246093268814119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
niggas,0,0.0,0,0.0,1,0.07246093268814119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
nobody,0,0.0,0,0.0,0,0.0,1,0.07246093268814119,0,0.0,0,0.0,0,0.0,0,0.0
people,0,0.0,0,0.0,2,0.14492186537628238,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
RD-NAME-2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07246093268814119,0,0.0
she,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.21738279806442357,4,0.28984373075256475,0,0.0
that,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07246093268814119
they,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.14492186537628238,11,0.7970702595695531,0,0.0
we,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.43476559612884713,0,0.0
who,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07246093268814119
woman,0,0.0,0,0.0,1,0.07246093268814119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
y'all,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07246093268814119,0,0.0
you,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.14492186537628238,16,1.159374923010259,0,0.0
